drive,mode,complete,frames,observations,seconds,p95_ms,entities,placed_entities,attached,pair_crossings,geometry_checks,revision_queue_remaining,negative_challenges,clean_retention_pct,clean_entities_whole,cases_mixed,cases_separated,cases_unresolved
07,baseline,True,231,1262,80.286,801.86,139,139,971,4272415,3505440,0,0,,,,,
07,shortlist,True,231,1262,30.65,239.19,160,160,966,338710,1596412,0,0,,,,,
07,revision,True,231,1262,29.995,229.61,160,160,966,338710,1596412,20,0,,,,,
07,negative,True,231,1262,29.85,231.2,160,160,966,338710,1596412,20,0,,,,,
08,baseline,True,211,1328,87.453,1026.54,152,152,1013,3954515,3561511,0,0,100.0,52,8,0,0
08,shortlist,True,211,1328,39.073,335.81,204,204,1057,329223,1744636,0,0,62.788844621513945,16,4,3,1
08,revision,True,211,1328,35.361,315.51,203,195,1044,317796,1697943,52,0,50.657370517928285,12,3,4,1
08,negative,True,211,1328,34.652,310.52,203,195,1044,317796,1697943,52,0,50.657370517928285,12,3,4,1
acceptance,baseline,True,214,1208,80.444,821.92,160,160,998,2711119,2843183,0,0,,,,,
acceptance,shortlist,True,214,1208,37.767,276.13,183,183,1024,324753,1628500,0,0,,,,,
acceptance,revision,True,214,1208,75.607,542.08,197,194,1030,332826,1672700,53,0,,,,,
acceptance,negative,True,214,1208,40.349,340.44,197,194,1030,332826,1672700,53,0,,,,,
